date,Depth,Variables,Values
2021-01-15T10:05:50Z,0.254,Salinity,34.13355998
2021-01-15T10:05:50Z,0.254,AbsPressure,104.322
2021-01-15T10:06:00Z,0.262,Temperature,29.19
2021-01-15T10:06:00Z,0.262,Salinity,34.12934987
2021-01-15T10:06:00Z,0.262,AbsPressure,104.408
2021-01-15T10:06:10Z,0.288,Temperature,29.19
2021-01-15T10:06:10Z,0.288,Salinity,34.09932282
2021-01-15T10:06:10Z,0.288,AbsPressure,104.667
2021-01-15T10:06:20Z,0.254,Temperature,29.16
2021-01-15T10:06:20Z,0.254,Salinity,34.10403877
2021-01-15T10:06:20Z,0.254,AbsPressure,104.322
2021-01-15T10:06:30Z,0.259,Temperature,29.17
2021-01-15T10:06:30Z,0.259,Salinity,34.11356513
2021-01-15T10:06:30Z,0.259,AbsPressure,104.374
2021-01-15T10:06:40Z,0.273,Temperature,29.17
2021-01-15T10:06:40Z,0.273,Salinity,34.09031431
2021-01-15T10:06:40Z,0.273,AbsPressure,104.512
2021-01-15T10:06:50Z,0.235,Temperature,29.19
2021-01-15T10:06:50Z,0.235,Salinity,34.0860303
2021-01-15T10:06:50Z,0.235,AbsPressure,104.133
2021-01-15T10:07:00Z,0.267,Temperature,29.19
2021-01-15T10:07:00Z,0.267,Salinity,34.10267077
2021-01-15T10:07:00Z,0.267,AbsPressure,104.46
2021-01-15T10:07:10Z,0.245,Temperature,29.2
2021-01-15T10:07:10Z,0.245,Salinity,34.10559016
2021-01-15T10:07:10Z,0.245,AbsPressure,104.239
2021-01-15T10:07:20Z,0.29,Temperature,29.2
2021-01-15T10:07:20Z,0.29,Salinity,34.05893691
2021-01-15T10:07:20Z,0.29,AbsPressure,104.686
2021-01-15T10:07:30Z,0.288,Temperature,29.2
2021-01-15T10:07:30Z,0.288,Salinity,34.10893657
2021-01-15T10:07:30Z,0.288,AbsPressure,104.669
2021-01-15T10:07:40Z,0.269,Temperature,29.19
2021-01-15T10:07:40Z,0.269,Salinity,34.08937804
2021-01-15T10:07:40Z,0.269,AbsPressure,104.48
2021-01-15T10:07:50Z,0.251,Temperature,29.19
